ptime,npass,olng,olat,dlng,dlat,dist,dtime
2016-05-01 00:00:04,1,-73.94084167480467,40.83932876586913,-73.93297576904298,40.85030364990234,0.85,2016-05-01 00:06:22
2016-05-01 00:00:14,1,-73.9422149658203,40.828628540039055,-73.99678802490234,40.763519287109375,6.7,2016-05-01 00:14:37
2016-05-01 00:00:28,1,-73.94879913330078,40.78599166870117,-73.98872375488281,40.76374816894531,4.1,2016-05-01 00:23:02
2016-05-01 00:00:30,1,-73.94966888427734,40.78541564941406,-73.95274353027344,40.776233673095696,0.78,2016-05-01 00:05:19
2016-05-01 00:00:31,1,-73.9524917602539,40.81066513061523,-73.94510650634766,40.82101821899415,0.99,2016-05-01 00:08:02
2016-05-01 00:00:41,6,-73.95003509521484,40.801551818847656,-73.93594360351562,40.81515121459961,1.33,2016-05-01 00:06:47
2016-05-01 00:01:09,2,-73.95266723632812,40.80820083618164,-73.93396759033203,40.802261352539055,1.25,2016-05-01 00:09:08
2016-05-01 00:01:16,1,-73.9403305053711,40.82395553588867,-73.97238159179686,40.7931022644043,3.24,2016-05-01 00:19:11
2016-05-01 00:01:18,1,-73.9383316040039,40.846824645996094,-73.96665954589844,40.799217224121094,5.42,2016-05-01 00:17:36
2016-05-01 00:01:26,1,-73.94670867919923,40.79751586914063,-73.93942260742188,40.82751083374024,2.7,2016-05-01 00:18:17
2016-05-01 00:01:28,1,-73.95779418945312,40.800514221191406,-73.95014190673827,40.82936096191406,2.52,2016-05-01 00:11:29
2016-05-01 00:01:28,1,-73.94175720214845,40.822750091552734,-73.9965591430664,40.759910583496094,6.21,2016-05-01 00:20:41
2016-05-01 00:01:34,1,-73.93714904785155,40.8325080871582,-73.94530487060547,40.81013488769531,1.9,2016-05-01 00:11:41
2016-05-01 00:01:38,1,-73.9423828125,40.80643081665039,-73.95757293701173,40.804534912109375,1.1,2016-05-01 00:08:48
2016-05-01 00:01:46,1,-73.9393310546875,40.84825897216797,-73.91932678222656,40.86469650268555,1.65,2016-05-01 00:11:20
2016-05-01 00:01:51,1,-73.93829345703125,40.8468132019043,-73.95286560058595,40.78683090209961,6.5,2016-05-01 00:26:52
2016-05-01 00:01:56,1,-73.96460723876955,40.80735397338867,-73.98371124267578,40.77557373046875,2.59,2016-05-01 00:14:34
2016-05-01 00:02:05,1,-73.95524597167969,40.80426406860352,-73.93840789794923,40.798828125,1.0,2016-05-01 00:08:50
2016-05-01 00:02:09,1,-73.9630126953125,40.802650451660156,-73.94669342041014,40.83723449707031,3.08,2016-05-01 00:14:04
2016-05-01 00:02:11,1,-73.9428482055664,40.799182891845696,-73.94454193115234,40.79067611694336,1.02,2016-05-01 00:07:32
2016-05-01 00:02:13,1,-73.9509506225586,40.825508117675774,-73.94718170166014,40.83783721923828,0.86,2016-05-01 00:08:21
2016-05-01 00:02:16,1,-73.95270538330078,40.81051254272461,-73.94100189208984,40.84401321411133,2.2,2016-05-01 00:11:42
2016-05-01 00:02:22,1,-73.93746948242188,40.812721252441406,-73.97928619384766,40.77178955078125,4.32,2016-05-01 00:14:22
2016-05-01 00:02:23,2,-73.96642303466798,40.80475616455078,-74.0172348022461,40.71122741699219,7.97,2016-05-01 00:31:39
2016-05-01 00:02:30,6,-73.93901824951173,40.84345245361328,-73.94770812988281,40.83040237426758,0.97,2016-05-01 00:07:22
2016-05-01 00:02:30,1,-73.95812225341797,40.815330505371094,-73.94538116455078,40.81353378295898,0.96,2016-05-01 00:06:32
2016-05-01 00:02:36,1,-73.9390640258789,40.80530166625977,-73.94998168945312,40.78438949584961,1.75,2016-05-01 00:09:44
2016-05-01 00:02:45,1,-73.9377212524414,40.80454635620117,-73.94087982177734,40.818931579589844,1.41,2016-05-01 00:09:42
2016-05-01 00:02:51,1,-73.96263122558594,40.80245590209961,-73.9535903930664,40.79076766967773,1.25,2016-05-01 00:09:14
2016-05-01 00:02:54,1,-73.94676208496094,40.81750869750977,-73.9395980834961,40.82564926147461,0.73,2016-05-01 00:05:58
2016-05-01 00:03:07,2,-73.95438385009766,40.80593490600585,-73.95858764648438,40.814788818359375,0.8,2016-05-01 00:07:12
2016-05-01 00:03:10,1,-73.9391098022461,40.80553817749024,-73.95430755615234,40.80598449707031,1.2,2016-05-01 00:09:59
2016-05-01 00:03:11,1,-73.95268249511719,40.81049346923828,-73.93831634521484,40.846588134765625,2.6,2016-05-01 00:14:02
2016-05-01 00:03:11,1,-73.93885040283203,40.80483627319336,-73.95782470703125,40.77643966674805,2.28,2016-05-01 00:10:15
2016-05-01 00:03:11,1,-73.92802429199219,40.86523818969727,-73.9837646484375,40.74369812011719,10.67,2016-05-01 00:39:05
2016-05-01 00:03:17,1,-73.94757080078125,40.796142578125,-73.95463562011719,40.80534362792969,1.0,2016-05-01 00:07:56
2016-05-01 00:03:22,1,-73.93917083740234,40.80551528930664,-73.95574188232422,40.80366134643555,1.18,2016-05-01 00:11:58
2016-05-01 00:03:29,1,-73.9549789428711,40.8017578125,-73.94109344482422,40.81272888183594,1.51,2016-05-01 00:12:37
2016-05-01 00:03:30,1,-73.93276977539062,40.7956428527832,-73.97496032714845,40.720069885253906,6.23,2016-05-01 00:13:53
2016-05-01 00:03:31,1,-73.94877624511719,40.82888793945313,-73.95662689208984,40.7671012878418,5.88,2016-05-01 00:22:06
