edge_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
63,9,5,11,9,12,13,10,13,11,13,12,10,17,15,14,16,10,14,18,11,12,13,9,13
64,11,13,11,17,11,21,21,19,27,26,4,26,18,20,20,4,13,21,5,17,10,14,10,9
65,32,24,43,16,5,22,22,29,29,39,20,21,28,21,25,24,26,27,23,27,24,20,27,30
66,24,27,25,39,36,38,35,31,44,41,21,43,30,44,32,30,30,39,42,31,39,27,22,27
67,8,7,7,6,9,5,5,5,7,7,6,5,5,5,6,4,3,7,7,6,6,7,12,7
68,19,17,14,14,14,10,13,17,13,12,12,12,13,10,15,14,12,16,12,10,14,12,11,14
69,33,35,31,39,33,37,32,43,62,35,8,41,41,31,37,35,20,22,30,24,19,21,35,31
70,3,8,7,21,18,23,22,20,29,40,25,21,15,15,18,35,18,27,12,25,10,4,4,2
71,18,5,7,8,7,9,7,8,9,6,7,8,11,7,10,10,8,8,8,10,10,12,16,12
72,11,6,10,6,1,4,1,7,7,8,1,7,7,5,6,2,6,7,7,8,9,10,9,7
73,17,7,20,13,23,17,19,23,18,16,21,12,17,18,15,14,18,17,23,17,12,16,12,13
74,22,14,14,26,15,22,15,20,29,23,14,19,19,21,14,6,18,19,19,25,17,19,34,15
75,36,44,28,26,33,37,48,40,54,55,26,42,46,24,29,22,31,33,39,23,31,43,31,27
76,22,20,35,23,34,18,27,25,26,35,30,25,34,26,19,22,26,23,28,24,23,25,19,20
77,3,5,5,5,6,6,4,4,5,7,4,4,5,4,3,3,2,3,4,3,3,3,6,8
78,7,10,15,10,5,21,10,19,26,30,15,19,26,26,23,19,9,10,16,12,15,8,12,8
79,10,6,3,5,4,7,4,6,1,4,3,6,3,6,8,7,6,5,6,4,3,2,3,9
80,8,7,11,7,9,8,8,7,10,14,9,10,7,8,9,12,9,12,10,12,9,10,12,8
81,23,40,34,39,40,36,32,39,31,28,35,30,28,31,27,34,31,30,27,29,20,27,27,32
82,20,18,9,15,13,12,20,13,9,9,11,9,12,7,11,10,8,14,9,13,12,18,17,19
83,9,12,4,10,16,23,20,27,39,37,33,19,26,20,23,18,17,21,11,18,10,12,17,6
84,4,6,2,5,7,11,9,13,18,17,9,9,9,9,11,9,8,10,9,8,5,6,8,4
85,45,41,29,34,29,38,45,29,21,20,24,20,27,16,25,18,19,32,20,30,28,41,27,34
86,43,32,28,20,35,43,42,39,56,77,47,54,37,41,49,67,51,63,54,63,21,22,24,32
87,27,20,32,27,8,20,8,30,43,13,8,41,32,31,37,9,27,18,33,48,36,42,38,16
88,29,26,19,24,22,20,20,18,26,36,7,25,17,19,23,22,16,24,25,42,14,37,31,15
89,14,10,19,24,16,16,20,27,38,22,5,25,25,19,23,15,12,9,19,19,17,13,22,19
90,34,30,24,14,47,43,42,38,29,38,32,50,37,40,48,45,28,15,37,43,26,25,19,11
91,14,2,34,23,5,10,7,14,21,2,15,24,17,7,22,22,18,22,9,11,28,32,2,6
92,15,13,10,18,9,10,9,11,8,5,8,8,16,15,10,16,7,5,6,11,5,4,12,3
93,30,19,28,28,24,4,4,18,10,4,4,28,13,29,15,20,31,29,13,20,12,26,31,9
94,15,14,14,12,14,9,11,14,11,10,10,10,14,8,12,12,10,13,10,10,12,10,13,12
95,10,13,14,20,16,25,21,29,59,39,35,29,21,30,25,23,26,27,20,19,11,16,18,8
96,18,29,6,37,57,48,68,44,43,36,37,23,42,25,23,32,32,36,44,38,33,28,32,20
97,12,11,15,8,18,15,12,16,15,16,9,11,15,15,13,15,14,9,11,10,13,14,11,8
98,7,9,9,6,4,4,4,5,1,1,3,4,8,9,8,4,4,9,9,5,11,5,3,1
99,31,28,29,26,15,12,7,20,20,22,14,19,19,21,17,16,18,18,28,32,24,28,29,21
100,39,25,37,15,30,15,5,17,25,7,17,24,24,18,21,5,22,23,24,28,21,24,34,21
101,12,16,14,16,16,15,13,16,13,11,14,12,12,13,11,14,10,12,11,12,8,11,11,13
102,12,17,17,13,8,13,7,36,4,40,44,28,35,29,11,39,17,21,20,13,15,50,24,38
103,6,15,3,1,13,12,16,15,5,14,18,14,14,11,19,26,14,17,15,24,9,21,1,16
104,41,21,32,40,71,86,101,94,100,133,108,96,69,98,87,104,90,128,130,78,42,30,76,30
