id,lng,lat
0,-74.017945999999994910,40.706990999999995040
13,-74.016626000000002250,40.708134000000001151
15,-74.016440000000002897,40.716298999999999353
27,-74.015185000000002447,40.708521999999994989
33,-74.014543000000003303,40.717103999999999075
35,-74.014430000000004384,40.703150999999998305
52,-74.013592000000002713,40.707968000000001041
59,-74.013215999999999894,40.715198000000000889
65,-74.012997999999996068,40.703099999999999170
77,-74.012284999999991442,40.720337999999998146
79,-74.012143999999992161,40.708979999999996835
90,-74.011709999999993670,40.713656000000000290
93,-74.011591000000009899,40.739924000000002025
94,-74.011583000000001675,40.703519000000000005
105,-74.011267000000003691,40.724274000000001195
121,-74.010769999999993729,40.729106000000001586
122,-74.010693000000003394,40.717469999999998720
128,-74.010542000000000940,40.709153999999998064
143,-74.010200999999995020,40.703321000000002527
148,-74.010117000000008147,40.738568999999998255
170,-74.009799999999998477,40.733204000000000633
171,-74.009771000000000640,40.722121000000001345
192,-74.009253999999998541,40.713256000000001222
205,-74.008995999999996229,40.706953000000005716
208,-74.008966999999998393,40.726745999999998560
212,-74.008880000000004884,40.718274000000000967
222,-74.008724999999998317,40.743206000000000699
236,-74.008477999999996655,40.750326000000001159
238,-74.008436000000003219,40.734790999999994199
264,-74.008116999999998598,40.722627000000002795
273,-74.007980000000003429,40.703189000000001840
287,-74.007744999999999891,40.710221000000004210
299,-74.007543999999995776,40.715433000000004427
302,-74.007482999999993467,40.740941999999996881
310,-74.007319999999992888,40.727327999999999975
311,-74.007293000000004213,40.753089000000002784
328,-74.006979999999998654,40.735002000000001487
338,-74.006808999999989851,40.719778000000005136
340,-74.006781000000003701,40.706724000000001240
366,-74.006384999999994534,40.744646000000003028
374,-74.006226999999995542,40.749912999999999386
379,-74.006088000000005422,40.711970000000000880
382,-74.006039999999998713,40.724403000000002351
399,-74.005752000000001090,40.737122999999996864
400,-74.005706000000003542,40.731627000000003136
420,-74.005323000000004185,40.718274000000000967
427,-74.005238000000005627,40.756227000000002647
429,-74.005203000000008728,40.705996999999996433
437,-74.005110000000001946,40.746371000000003448
462,-74.004575000000002660,40.724173000000000400
469,-74.004435000000000855,40.713996000000001629
474,-74.004303000000007273,40.730446999999998070
478,-74.004221000000001141,40.752603999999998052
479,-74.004175000000003593,40.738134000000002288
509,-74.003542000000010148,40.743448000000000775
512,-74.003512000000000626,40.720556999999999448
517,-74.003365999999999758,40.710790000000002919
523,-74.003236000000001127,40.748973999999996920
524,-74.003155000000006680,40.727664000000004307
525,-74.003154000000009205,40.734895999999999106
535,-74.003027000000003000,40.715592000000000894
545,-74.002762000000004150,40.760176000000001295
556,-74.002476000000001477,40.739730999999999028
558,-74.002428000000008979,40.755074000000000467
563,-74.002329000000003134,40.706707999999999004
564,-74.002265000000008399,40.745207000000000619
569,-74.002173999999996568,40.722929999999998074
589,-74.001806000000001973,40.732948999999997852
603,-74.001565999999996848,40.717298999999997022
608,-74.001429999999999154,40.751445000000003915
613,-74.001390000000000668,40.727660000000000196
617,-74.001311000000001172,40.762067999999999302
621,-74.001176999999998429,40.710110999999997716
623,-74.001129000000005931,40.741667999999997107
631,-74.000965000000007876,40.757024999999998727
640,-74.000721999999996115,40.735925999999999192
644,-74.000656999999989694,40.722183000000001130
655,-74.000451999999995678,40.714371999999997342
657,-74.000399000000001593,40.747766999999996074
667,-74.000121999999990408,40.730432000000000414
679,-73.999835000000004470,40.763127000000004330
684,-73.999633000000002880,40.753917999999998756
694,-73.999422999999993067,40.718679999999999097
695,-73.999421999999995592,40.744009000000005472
697,-73.999344999999991046,40.725008000000002539
701,-73.999290999999999485,40.708776000000000295
704,-73.999188000000003740,40.734134000000004505
722,-73.998743999999987864,40.760104999999995812
728,-73.998629000000008205,40.713446000000004688
730,-73.998604999999997744,40.729684999999996364
731,-73.998593999999997095,40.750240999999995495
743,-73.998287000000004809,40.740470000000001960
749,-73.998195999999992978,40.721063000000000898
751,-73.998078000000006682,40.764834000000000458
765,-73.997845999999995570,40.754560999999995374
780,-73.997609999999994557,40.725797000000000025
781,-73.997551999999998884,40.746580999999999051
790,-73.997341000000005806,40.736668000000001655
796,-73.997117000000002918,40.712798999999996852
797,-73.997107999999997219,40.717869999999997788
803,-73.996973999999994476,40.731408999999999310
808,-73.996881999999999380,40.759357000000001392
817,-73.996693000000007601,40.766702999999999690
820,-73.996580000000008681,40.742810999999996113
835,-73.996297999999995909,40.753394000000000119
837,-73.996268000000000598,40.721952000000001703
841,-73.996195999999997639,40.748440000000002215
849,-73.995964999999998213,40.709243000000000734
866,-73.995592999999999506,40.728194000000002006
869,-73.995489000000006286,40.733437000000002115
870,-73.995474000000001524,40.759627000000001829
872,-73.995446000000001163,40.739271999999999707
873,-73.995429000000001452,40.717278999999997779
883,-73.995160999999995965,40.744762999999998954
884,-73.995114000000000942,40.769251000000004126
896,-73.994908999999992716,40.723036000000000456
900,-73.994844000000000506,40.750292999999999211
920,-73.994484999999997399,40.755881999999999721
922,-73.994458999999991988,40.713021000000004790
937,-73.994164999999995302,40.741030999999999551
942,-73.994118000000000279,40.735312999999997885
945,-73.994069999999993570,40.761552000000001783
946,-73.994063999999994508,40.729978000000002680
955,-73.993828000000007705,40.718144999999999811
957,-73.993813000000002944,40.746617999999998005
963,-73.993721999999991112,40.767105000000000814
964,-73.993686999999994214,40.772109000000000378
972,-73.993459999999998900,40.752196000000004972
973,-73.993457999999989738,40.724433000000004768
990,-73.993068999999991320,40.757826000000001443
994,-73.992975999999998749,40.713824999999999932
1003,-73.992805000000004156,40.742901000000003364
