id,lng,lat
215,-74.008845,40.72747
216,-74.008832,40.713796
217,-74.008823,40.716014
218,-74.008819,40.718642
219,-74.008813,40.706012
220,-74.008789,40.704211
221,-74.008784,40.731873
222,-74.008747,40.719029
223,-74.008725,40.743206
224,-74.008724,40.728195
225,-74.008716,40.741474
226,-74.008699,40.719296
227,-74.008658,40.711388
228,-74.008645,40.70734
229,-74.008644,40.724222
230,-74.008634,40.732643
231,-74.008594,40.72891
232,-74.008584,40.719952
233,-74.008564,40.744043
234,-74.008554,40.733401
235,-74.008537,40.743169
236,-74.008491,40.734094
237,-74.008478,40.750326
238,-74.00847,40.72061
239,-74.008436,40.734791
240,-74.008418,40.744757
241,-74.008418,40.70953
242,-74.0084,40.72963
243,-74.008387,40.714362
244,-74.008383,40.74394
245,-74.008378,40.716587
246,-74.00837,40.735506
247,-74.008349,40.725915
248,-74.008346,40.721322
249,-74.008325,40.703813
250,-74.008322,40.736188
251,-74.008302,40.723977
252,-74.008296,40.745449
253,-74.008288,40.750275
254,-74.008269,40.707722
255,-74.008254,40.736961
256,-74.008246,40.744695
257,-74.008233,40.721966
258,-74.008207,40.730343
259,-74.008206,40.737554
260,-74.008205,40.742144
261,-74.008154,40.738142
262,-74.008143,40.711999
263,-74.008126,40.704672
264,-74.008126,40.745377
265,-74.008117,40.722627
266,-74.008103,40.738759
267,-74.008051,40.739375
268,-74.008025,40.73105
269,-74.008014,40.751789
270,-74.008007,40.705447
271,-74.008004,40.707977
272,-74.008003,40.723283
273,-74.007989,40.746093
274,-74.00798,40.703189
275,-74.007957,40.717122
276,-74.007949,40.705547
277,-74.007941,40.740297
278,-74.00794,40.714927
279,-74.007912,40.7237
280,-74.007869,40.747809
281,-74.00786,40.746795
282,-74.007828,40.703279
283,-74.007817,40.751711
284,-74.007816,40.70305
285,-74.007808,40.70909
286,-74.007807,40.731784
287,-74.007766,40.703316
288,-74.007745,40.710221
289,-74.007731,40.747504
290,-74.007705,40.742834
291,-74.007688,40.712546
292,-74.007671,40.747829
293,-74.007671,40.704285
294,-74.007669,40.725192
295,-74.007644,40.748162
296,-74.00764,40.708346
297,-74.007629,40.723497
298,-74.007568,40.752361
299,-74.007557,40.72584
300,-74.007544,40.715433
301,-74.007533,40.717668
302,-74.007523,40.732852
303,-74.007483,40.740942
304,-74.007459,40.707219
305,-74.007452,40.706051
306,-74.007434,40.726601
307,-74.007413,40.748214
308,-74.007392,40.705183
309,-74.00736,40.710588
310,-74.007344,40.733588
311,-74.00732,40.727328
312,-74.007293,40.753089
313,-74.007286,40.708699
314,-74.007242,40.75383
315,-74.007238,40.74347
316,-74.007225,40.713055
317,-74.007203,40.72805
318,-74.007162,40.734296
319,-74.00713,40.706375
320,-74.007118,40.711712
321,-74.007097,40.715998
322,-74.007091,40.728768
323,-74.007054,40.709872
324,-74.007052,40.74889
325,-74.007052,40.718269
326,-74.007047,40.70375
327,-74.007035,40.753777
328,-74.007024,40.711736
329,-74.00698,40.735002
330,-74.006973,40.729497
331,-74.00697,40.741628
332,-74.00696,40.719103
333,-74.00695,40.704802
334,-74.006932,40.748877
335,-74.006864,40.75452
336,-74.006857,40.730228
337,-74.006838,40.707858
338,-74.006811,40.744061
339,-74.006809,40.719778
340,-74.006799,40.735723
341,-74.006781,40.706724
342,-74.006766,40.705624
343,-74.006753,40.713618
344,-74.006737,40.730947
345,-74.006694,40.720437
346,-74.006674,40.716532
347,-74.00665,40.754429
348,-74.006624,40.731669
349,-74.006621,40.736432
350,-74.006597,40.749553
351,-74.006593,40.718862
352,-74.006586,40.715767
353,-74.006531,40.708227
354,-74.006501,40.732426
355,-74.006498,40.736957
356,-74.006487,40.73755
357,-74.006478,40.711231
358,-74.00647,40.738139
359,-74.00646,40.738754
360,-74.006456,40.706982
361,-74.006449,40.739405
362,-74.006435,40.709557
363,-74.006434,40.721815
364,-74.006432,40.719082
365,-74.006428,40.720405
366,-74.006407,40.733054
367,-74.006385,40.744646
368,-74.006353,40.722587
369,-74.006334,40.739631
370,-74.00631,40.714166
371,-74.006306,40.704223
372,-74.006294,40.733742
373,-74.006246,40.717083
374,-74.006233,40.723121
375,-74.006227,40.749913
376,-74.006181,40.734439
377,-74.006166,40.716301
378,-74.006134,40.719445
379,-74.006116,40.723746
380,-74.006088,40.71197
381,-74.006076,40.709918
382,-74.006069,40.735134
383,-74.00604,40.724403
384,-74.006023,40.750166
385,-74.006021,40.706142
386,-74.006021,40.707905
387,-74.00596,40.735845
388,-74.00596,40.745231
389,-74.005958,40.740135
390,-74.005951,40.707205
391,-74.00594,40.719694
392,-74.005894,40.725026
393,-74.005889,40.714678
394,-74.005864,40.740261
395,-74.005854,40.736534
396,-74.005849,40.71168
397,-74.00583,40.733139
398,-74.005781,40.725674
399,-74.005777,40.717677
400,-74.005752,40.737123
401,-74.005706,40.731627
402,-74.005691,40.706375
403,-74.005687,40.737552
404,-74.005658,40.726435
405,-74.005655,40.720057
406,-74.005599,40.710397
407,-74.005591,40.738139
408,-74.005567,40.750747
409,-74.005545,40.727157
410,-74.005539,40.736916
411,-74.005535,40.745816
412,-74.005522,40.705791
413,-74.005512,40.709093
414,-74.005495,40.738754
415,-74.005482,40.707387
416,-74.005463,40.732448
417,-74.005427,40.727879
418,-74.00542,40.715236
419,-74.00539,40.739412
420,-74.005366,40.740945
421,-74.005323,40.718274
422,-74.005315,40.728601
423,-74.005314,40.736611
424,-74.005304,40.722197
425,-74.005292,40.721766
426,-74.005291,40.740024
427,-74.005269,40.728853
428,-74.005238,40.756227
429,-74.005208,40.720628
430,-74.005203,40.705997
431,-74.005187,40.719838
432,-74.005181,40.729447
433,-74.005174,40.719005
434,-74.005158,40.740858
435,-74.005126,40.735961
436,-74.005124,40.709403
437,-74.005111,40.751389
438,-74.00511,40.746371
439,-74.005107,40.731836
440,-74.005082,40.741336
441,-74.005059,40.722978
442,-74.005003,40.706853
443,-74.004976,40.71576
444,-74.004965,40.756954
445,-74.004939,40.731544
446,-74.004932,40.735304
447,-74.004861,40.741642
448,-74.004845,40.718853
449,-74.00483,40.737548
450,-74.004827,40.70966
451,-74.004819,40.713475
452,-74.004786,40.723625
453,-74.004774,40.708407
454,-74.004771,40.756869
455,-74.004749,40.705232
456,-74.004748,40.73466
457,-74.004739,40.724267
458,-74.004688,40.730321
459,-74.004672,40.751966
460,-74.004653,40.747023
461,-74.004635,40.721354
