id,olng,olat,dlng,dlat,Ts,Tr,Cep,Tp,Td,WT,TD,D
2437,-74.002739,40.71825,-74.00923900000002,40.7047,411.95,3610,3610,-1.0,-1.0,-1,-1,0.0
2438,-73.987144,40.733398,-73.979897,40.743484,207.61,3614,3614,3692.3,3899.91,78.30000000000018,-3.410605131648481e-13,0.9999999999999983
2439,-73.977524,40.764275,-73.963165,40.77774,414.02,3617,3617,-1.0,-1.0,-1,-1,0.0
2440,-73.966827,40.761013,-73.940689,40.816593,957.95,3621,3621,3904.6500000000005,5012.13,283.65000000000055,149.52999999999952,1.1560937418445634
2441,-73.98221600000002,40.768898,-73.983765,40.74395,763.55,3624,3624,3861.54,4763.04,237.53999999999996,137.95000000000005,1.1806692423547902
2442,-73.97625,40.765682,-73.967674,40.794487,604.01,3628,3628,-1.0,-1.0,-1,-1,0.0
2443,-74.002022,40.740359999999995,-73.988388,40.737320000000004,392.17,3632,3632,3882.34,4274.51,250.34000000000015,5.684341886080802e-14,1.0000000000000002
2444,-73.966347,40.804955,-73.990341,40.737831,1421.76,3634,3634,3713.58,-1.0,79.57999999999993,-1,0.0
2445,-74.001678,40.73077,-73.99143199999997,40.754707,632.56,3637,3637,3839.89,4704.54,202.88999999999987,232.09000000000015,1.3669059061590998
2446,-73.97672299999998,40.788162,-73.994987,40.731682,1326.51,3641,3641,3762.42,-1.0,121.42000000000007,-1,0.0
2447,-73.98209399999998,40.778587,-74.004379,40.742397,783.97,3645,3645,3824.16,4608.13,179.15999999999985,2.2737367544323206e-13,1.0000000000000002
2448,-73.982033,40.775063,-73.972862,40.795715,377.8,3648,3648,3811.8,4189.6,163.80000000000018,1.7053025658242404e-13,1.0000000000000004
2449,-73.985023,40.759479999999996,-73.977837,40.753014,471.88,3649,3649,-1.0,-1.0,-1,-1,0.0
2450,-73.989754,40.729706,-73.979202,40.761936,871.2,3651,3651,3780.6,4943.26,129.5999999999999,291.46000000000026,1.3345500459136825
2451,-73.997292,40.763752000000004,-73.987602,40.721508,1368.14,3653,3653,-1.0,-1.0,-1,-1,0.0
2452,-73.971603,40.766234999999995,-73.967262,40.756042,357.08,3657,3657,4321.24,4678.32,664.2399999999998,-5.684341886080802e-14,0.9999999999999999
2453,-73.995308,40.732708,-73.974823,40.758614,732.14,3660,3660,-1.0,-1.0,-1,-1,0.0
2454,-74.008659,40.715996000000004,-73.98696899999999,40.739529,787.31,3660,3660,3872.18,4828.08,212.17999999999984,168.59000000000015,1.214134203807903
2455,-73.98383299999998,40.754807,-73.948288,40.795265,803.36,3660,3660,3850.9900000000002,4939.67,190.99000000000024,285.3199999999998,1.355158334993029
2456,-73.962402,40.804977,-74.0065,40.739513,1335.49,3660,3660,3944.5499999999997,-1.0,284.5499999999997,-1,0.0
2457,-73.98812099999998,40.748020000000004,-74.001488,40.73941,421.26,3660,3660,-1.0,-1.0,-1,-1,0.0
2458,-73.988014,40.718845,-73.985405,40.735088,518.59,3660,3660,3720.0800000000004,4506.47,60.08000000000038,267.79999999999984,1.5164002391098939
2459,-73.98584699999998,40.738411,-74.003662,40.732056,521.18,3660,3660,-1.0,-1.0,-1,-1,0.0
2460,-73.99789399999997,40.763981,-73.993866,40.752377,454.79,3660,3660,3711.4500000000003,4280.4,51.45000000000027,114.15999999999934,1.2510169528793496
2461,-73.983368,40.744518,-73.980598,40.732254,397.31,3660,3660,-1.0,-1.0,-1,-1,0.0
2462,-73.986397,40.726612,-73.952461,40.776428,779.07,3660,3660,3773.1300000000006,5018.1900000000005,113.13000000000056,465.9899999999999,1.5981362393623164
2463,-74.008018,40.708076,-73.959343,40.767536,1199.59,3660,3660,3914.71,-1.0,254.71000000000004,-1,0.0
2464,-73.99039499999998,40.741657000000004,-73.98494000000002,40.749668,296.66,3660,3660,3941.76,4348.96,281.7600000000002,110.5399999999998,1.3726151149464025
2465,-74.005974,40.735481,-73.994232,40.751045,351.58,3660,3660,3791.07,4142.65,131.07000000000016,-5.115907697472721e-13,0.9999999999999986
2466,-73.947311,40.784496000000004,-73.97097,40.795246,512.45,3660,3660,3798.75,4606.75,138.75,295.54999999999995,1.5767391940677138
2467,-74.002403,40.730366,-74.004288,40.742290000000004,447.6,3660,3660,-1.0,-1.0,-1,-1,0.0
2468,-73.981148,40.744549,-73.996437,40.74287,429.98,3660,3660,3908.88,4688.8,248.8800000000001,349.94000000000005,1.8138518070607936
2469,-73.99754300000002,40.763721000000004,-74.00430300000002,40.752753999999996,184.2,3660,3660,-1.0,-1.0,-1,-1,0.0
2470,-73.969093,40.758121,-73.95752,40.774162,255.39,3660,3660,3775.870000000001,4031.2600000000007,115.8700000000008,-1.1368683772161603e-13,0.9999999999999996
2471,-73.98674,40.739853000000004,-73.977432,40.7612,580.55,3660,3660,3911.53,4514.55,251.5300000000002,22.470000000000027,1.038704676599776
2472,-74.002602,40.724995,-74.00676700000002,40.713634000000006,403.34,3664,3664,-1.0,-1.0,-1,-1,0.0
2473,-73.93911700000002,40.843895,-73.960991,40.7995,747.71,3666,3666,3928.93,4676.64,262.92999999999984,4.547473508864641e-13,1.0000000000000007
2474,-73.982254,40.732014,-73.977577,40.749569,424.63,3670,3670,3839.96,4564.43,169.96000000000004,299.84000000000026,1.7061206226597279
2475,-73.987663,40.721344,-73.99652900000002,40.726936,468.51,3672,3672,3765.33,4254.97,93.32999999999993,21.130000000000337,1.0451004247508064
2476,-74.00264,40.739273,-73.994049,40.751381,285.66,3675,3675,3856.99,4142.65,181.98999999999978,-1.7053025658242404e-13,0.9999999999999994
2477,-73.987587,40.732712,-73.968277,40.753899,524.72,3678,3678,-1.0,-1.0,-1,-1,0.0
2478,-73.996353,40.759953,-74.002243,40.733523999999996,686.96,3684,3684,3940.19,4817.150000000001,256.19000000000005,190.00000000000045,1.276580878071504
2479,-73.99703199999998,40.720631,-74.006966,40.74395,752.5,3688,3688,3861.7999999999997,5014.87,173.79999999999973,400.57000000000016,1.5323189368770767
2480,-73.99209599999998,40.72546,-73.982559,40.742725,477.78,3693,3693,3902.7700000000004,4757.97,209.77000000000044,377.41999999999985,1.789945163045753
2481,-74.002563,40.749783,-74.006897,40.744949,270.3,3698,3698,3960.04,4517.4,262.03999999999996,287.05999999999966,2.0620051794302614
2482,-74.006401,40.739521,-73.990135,40.76175300000001,623.06,3701,3701,3836.7499999999995,4643.129999999999,135.74999999999955,183.3199999999997,1.2942252752543892
2483,-73.98297099999998,40.766723999999996,-73.993279,40.757645000000004,312.04,3704,3704,3913.5499999999997,4225.59,209.54999999999973,3.979039320256561e-13,1.0000000000000013
2484,-73.952888,40.776501,-74.001961,40.733727,1247.36,3706,3706,3965.47,-1.0,259.4699999999998,-1,0.0
2485,-74.004311,40.716537,-74.01265,40.704094,303.26,3708,3708,-1.0,-1.0,-1,-1,0.0
2486,-74.014214,40.714729,-73.98050699999997,40.742317,1012.41,3712,3712,3785.87,5302.2699999999995,73.86999999999989,503.98999999999967,1.4978121512035634
2487,-73.982025,40.773769,-73.96573599999998,40.803043,487.56,3715,3715,3940.05,4545.92,225.05000000000018,118.30999999999989,1.2426573139716135
2488,-73.993607,40.71545,-73.98597,40.721199,290.28,3719,3719,-1.0,-1.0,-1,-1,0.0
2489,-73.983536,40.731792,-73.96994000000002,40.794819,1256.78,3720,3720,3875.21,-1.0,155.21000000000004,-1,0.0
2490,-73.975945,40.786381,-73.94426,40.809467,706.83,3720,3720,3790.3399999999997,4751.13,70.33999999999969,253.96000000000038,1.359294314050055
2491,-73.992859,40.733955,-73.96991700000002,40.749297999999996,624.98,3720,3720,3989.95,4941.3099999999995,269.9499999999998,326.37999999999965,1.5222247111907576
2492,-74.006828,40.719189,-73.950912,40.772507,1434.8,3720,3720,3732.91,-1.0,12.909999999999854,-1,0.0
2493,-73.99114200000002,40.734142,-73.99353,40.738533000000004,344.49,3720,3720,3909.96,4638.7300000000005,189.96000000000004,384.2800000000004,2.1155040784928456
2494,-73.985527,40.722958,-73.989899,40.72391500000001,167.57,3720,3720,3850.3200000000006,4353.210000000001,130.32000000000062,335.32000000000033,3.0010741779554833
2495,-73.98530600000002,40.71777,-74.008911,40.702534,542.25,3720,3720,3922.69,4518.56,202.69000000000005,53.620000000000346,1.0988842784693413
2496,-73.989838,40.762299,-73.97818000000002,40.752628,505.96,3720,3720,3973.99,4802.9,253.98999999999978,322.9499999999999,1.6382915645505571
2497,-73.979858,40.742374,-73.973694,40.737732,327.33,3720,3720,-1.0,-1.0,-1,-1,0.0
2498,-74.004768,40.723938000000004,-73.985497,40.74420900000001,586.35,3720,3720,-1.0,-1.0,-1,-1,0.0
2499,-73.98088800000002,40.741943,-73.97890500000003,40.76189,598.84,3720,3720,3755.17,4595.7699999999995,35.17000000000007,241.75999999999942,1.4037138467704218
2500,-73.95815999999998,40.773144,-73.971512,40.792572,529.59,3720,3720,3889.9900000000002,4794.51,169.99000000000024,374.92999999999995,1.7079627636473498
2501,-73.994072,40.713778999999995,-73.98755600000001,40.759632,1246.95,3720,3720,-1.0,-1.0,-1,-1,0.0
2502,-73.991028,40.750023,-74.000153,40.726982,613.83,3720,3720,3770.56,4854.09,50.559999999999945,469.70000000000016,1.7651955753221578
2503,-73.994682,40.75046500000001,-74.00235,40.739677,405.81,3720,3720,-1.0,-1.0,-1,-1,0.0
2504,-73.98671,40.757942,-73.93937700000002,40.821434,1380.01,3720,3720,-1.0,-1.0,-1,-1,0.0
2505,-74.010323,40.719051,-73.97584499999998,40.730270000000004,983.71,3720,3720,4017.93,5259.62,297.92999999999984,257.98,1.2622520864889042
2506,-73.988945,40.722218,-73.99678,40.722214,436.71,3720,3720,-1.0,-1.0,-1,-1,0.0
2507,-73.991501,40.726986,-73.971901,40.751575,610.9,3724,3724,-1.0,-1.0,-1,-1,0.0
2508,-74.005257,40.740414,-73.975655,40.749668,805.06,3726,3726,3870.06,5096.49,144.05999999999995,421.3699999999999,1.5234019824609344
2509,-73.995468,40.73354000000001,-73.985527,40.744083,470.14,3729,3729,-1.0,-1.0,-1,-1,0.0
2510,-73.982399,40.771889,-74.00269300000002,40.749809,642.33,3733,3733,3917.32,4577.98,184.32000000000016,18.32999999999936,1.0285367334547653
2511,-73.969559,40.757903999999996,-73.988701,40.757832,620.79,3736,3736,4638.62,5259.41,902.6199999999999,0.0,1.0
2512,-73.966164,40.805229,-73.948715,40.805012,529.74,3739,3739,3792.7599999999998,4322.5,53.75999999999976,2.2737367544323206e-13,1.0000000000000004
