scenario,demand starts,demand ends,demand number,fleet size,capacity,max wait (s),max wait (s),method,interval (s),total service rate,served rate (finished),serving rate (in-car),mean waiting,mean in-car delay,wt viol rate,tw viol,td viol rate,td viol,mean detour,mean car load (dist),mean car load (time),simulation starts,simulation ends,run time,mean run time,remarks
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,10 (18),300,600,VT,30,95.3% (369874),93.96% (364677),1.1% (4267),168.14,194.48,1.67% (6156/368944),888.93,1.5% (5478/364677),664.79,1.31,2.05,1.85,2019-12-04_17:34,2019-12-04_20:00,2:26:08,3.05,
Manhattan,2015-05-02 00:00:00,2015-05-02 00:34:00,433 (10.0%),100,4 (7),300,600,VT_replan,30,27.71% (120),2.54% (11),16.63% (72),203.95,46.28,1.2% (1/83),55.22,0.0% (0/11),0.0,1.15,1.41,1.41,2019-12-05_21:48,2019-12-05_21:48,0:00:17,0.26,
Manhattan,2015-05-02 00:00:00,2015-05-02 01:10:00,1443 (10.0%),200,4 (1),300,600,VT,30,64.86% (936),40.26% (581),19.82% (286),197.29,173.13,4.73% (41/867),348.17,2.24% (13/581),192.2,1.3,1.38,1.42,2019-12-07_15:57,2019-12-07_15:57,0:00:23,0.17,
Manhattan,2015-05-02 00:00:00,2015-05-02 02:00:00,2689 (10.0%),200,4 (1),300,600,VT,30,67.35% (1811),55.15% (1483),9.37% (252),228.85,184.04,8.18% (142/1735),520.38,4.92% (73/1483),415.95,1.29,1.32,1.37,2019-12-07_15:58,2019-12-07_15:59,0:00:58,0.24,
Manhattan,2015-05-02 00:00:00,2015-05-02 00:40:00,608 (10.0%),200,4 (1),300,600,VT,30,56.41% (343),10.2% (62),33.72% (205),160.06,101.88,1.87% (5/267),181.23,0.0% (0/62),0.0,1.26,1.33,1.34,2019-12-07_15:59,2019-12-07_15:59,0:00:14,0.18,
Manhattan,2015-05-02 00:00:00,2015-05-02 02:00:00,2689 (10.0%),200,4 (1),120,240,VT,30,48.57% (1306),40.65% (1093),5.5% (148),251.81,12.6,65.11% (808/1241),236.35,38.98% (426/1093),212.51,1.02,0.8,0.79,2019-12-07_16:00,2019-12-07_16:00,0:00:41,0.17,
Manhattan,2015-05-02 00:00:00,2015-05-02 02:00:00,2689 (10.0%),200,4 (1),600,600,VT,30,57.46% (1545),48.31% (1299),7.14% (192),305.92,119.72,0.0% (0/1491),0.0,0.0% (0/1299),0.0,1.18,1.29,1.15,2019-12-07_16:28,2019-12-07_16:29,0:00:45,0.19,
Manhattan,2015-05-02 00:00:00,2015-05-02 02:00:00,2689 (10.0%),200,4 (1),600,600,VT,30,65.01% (1748),52.36% (1408),8.29% (223),326.75,126.35,3.49% (57/1631),938.29,3.34% (47/1408),918.3,1.2,1.23,1.28,2019-12-07_16:29,2019-12-07_16:30,0:01:03,0.26,
Manhattan,2015-05-02 00:00:00,2015-05-02 02:00:00,2689 (10.0%),200,4 (1),300,600,VT,30,57.68% (1551),47.56% (1279),6.92% (186),184.31,201.89,8.6% (126/1465),955.06,6.33% (81/1279),742.46,1.32,1.22,1.28,2019-12-07_16:29,2019-12-07_16:30,0:00:58,0.24,
Manhattan,2015-05-02 00:00:00,2015-05-02 02:00:00,2689 (10.0%),200,4 (1),300,600,VT,30,62.07% (1669),52.44% (1410),6.81% (183),188.1,193.57,8.91% (142/1593),520.38,5.18% (73/1410),415.95,1.3,1.32,1.37,2019-12-07_16:31,2019-12-07_16:32,0:00:51,0.21,
Manhattan,2015-05-02 00:00:00,2015-05-02 02:00:00,2689 (10.0%),200,4 (1),300,600,VT_replan,30,59.54% (1601),49.2% (1323),7.51% (202),191.43,191.34,7.74% (128/1525),522.26,73.14% (68/1323),417.91,1.3,1.25,1.3,2019-12-07_16:36,2019-12-07_16:37,0:01:09,0.29,
Manhattan,2015-05-02 00:00:00,2015-05-02 02:20:00,2689 (10.0%),200,4 (1),300,600,VT_replan,30,66.83% (1797),62.89% (1691),1.38% (37),241.99,183.49,9.09% (157/1728),573.17,5.85% (99/1691),424.42,1.29,1.25,1.3,2019-12-07_18:49,2019-12-07_18:50,0:01:18,0.28,
Manhattan,2015-05-02 00:00:00,2015-05-02 02:20:00,2689 (10.0%),200,4 (1),300,600,VT,30,70.25% (1889),65.38% (1758),2.08% (56),240.42,185.7,9.81% (178/1814),574.43,5.8% (102/1758),437.28,1.29,1.32,1.37,2019-12-07_18:49,2019-12-07_18:50,0:01:00,0.21,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),3000,4 (7),300,600,VT_replan,30,100.0% (388101),98.65% (382878),1.15% (4476),146.14,136.72,1.46% (5674/387354),967.46,1.4% (5346/382878),707.34,1.21,1.71,1.2,2019-12-06_19:58,2019-12-07_22:23,"1 day, 2:24:51",33.04,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2200,4 (7),300,600,VT_replan,30,97.54% (378548),96.14% (373118),1.14% (4411),163.66,168.16,1.51% (5692/377529),995.22,1.41% (5272/373118),744.61,1.27,1.93,1.66,2019-12-08_00:49,2019-12-09_08:54,"1 day, 8:04:54",40.13,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,4 (7),300,600,VT_replan,30,93.8% (364052),92.49% (358965),1.08% (4175),170.57,194.71,1.44% (5220/363140),962.12,1.35% (4834/358965),713.76,1.31,2.02,1.82,2019-12-09_21:09,2019-12-10_12:29,15:20:01,19.18,
