scenario,demand starts,demand ends,demand number,fleet size,capacity,max wait (s),max wait (s),method,interval (s),service type,total service rate,served rate (finished),serving rate (in-car),mean wt,mean ivd,mean detour,mean ivt
,,,,,,,,,,VWVT:,1.3% (5460),1.29% (5428),0.01% (32),1188.36,0.0,1.0,552.13
Manhattan,2013-05-09 00:00:00,2013-05-09 23:59:00,417040 (100%),2000,6 (10),300,600,OSP,30,SWST:,91.59% (381961),91.39% (381133),0.2% (828),145.59,186.51,1.32,794.44
1.0,2020-01-08_20:42,2020-01-09_04:44,8:02:17,runtime:,10.05,load (d):,2.11,load (t):,1.82,VWST:,0.11% (474),0.11% (473),0.0% (1),493.59,40.48,1.07,673.77
,,,,,,,,,,VWVT:,1.23% (5124),1.21% (5030),0.02% (94),1181.62,-0.0,1.0,625.08
Manhattan,2013-05-08 00:00:00,2013-05-08 23:59:00,408490 (100%),2000,6 (10),300,600,OSP,30,SWST:,92.24% (376776),92.07% (376091),0.17% (685),144.95,184.22,1.31,786.13
1.0,2020-01-08_20:42,2020-01-09_04:59,8:16:33,runtime:,10.35,load (d):,2.05,load (t):,1.78,VWST:,0.11% (456),0.11% (456),0.0% (0),501.34,40.07,1.07,705.09
,,,,,,,,,,VWVT:,1.42% (5796),1.39% (5679),0.03% (117),1177.03,0.0,1.0,620.12
Manhattan,2013-05-05 00:00:00,2013-05-05 23:59:00,360178 (100%),2000,6 (10),300,600,OSP,30,SWST:,97.76% (352096),97.7% (351898),0.05% (198),136.13,161.09,1.32,675.62
1.0,2020-01-08_20:42,2020-01-09_06:37,9:54:59,runtime:,12.4,load (d):,1.89,load (t):,1.45,VWST:,0.08% (303),0.08% (303),0.0% (0),502.27,46.46,1.09,599.61
,,,,,,,,,,VWVT:,1.57% (5637),1.56% (5636),0.0% (1),1207.45,-0.0,1.0,495.06
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),2000,4 (7),300,600,OSP-RO,30,SWST:,92.99% (347637),92.88% (347205),0.12% (432),147.05,174.04,1.29,783.39
1.0,2020-01-12_15:45,2020-01-15_02:44,"2 days, 10:58:23",runtime:,73.77,load (d):,1.98,load (t):,1.64,VWST:,0.09% (321),0.09% (321),0.0% (0),505.8,29.46,1.05,729.08
,,,,,,,,,,VWVT:,1.49% (5566),1.49% (5552),0.0% (14),1212.19,0.06,1.0,642.89
Manhattan,2013-05-06 00:00:00,2013-05-06 05:39:00,1535 (10.0%),300,4 (7),300,600,OSP,30,SWST:,72.25% (1109),71.92% (1104),0.33% (5),160.22,99.41,1.16,787.01
