scenario,demand starts,demand ends,demand number,fleet size,capacity,max wait (s),max wait (s),method,interval (s),service type,total service rate,served rate (finished),serving rate (in-car),mean wt,mean ivd,mean detour,mean ivt
,,,,,,,,,,VWVT:,1.55% (89),1.55% (89),0.0% (0),1456.17,-0.0,1.0,622.09
Manhattan,2013-05-06 07:40:00,2013-05-06 09:20:00,5741 (25.0%),600,6 (10),300,600,OSP-RO,80,SWST:,86.19% (4948),84.34% (4842),1.85% (106),175.09,191.24,1.35,775.25
1.0,2020-03-26_00:25,2020-03-26_00:28,0:03:23,runtime:,2.74,load (d):,1.77,load (t):,1.82,VWST:,0.38% (22),0.37% (21),0.02% (1),481.18,59.81,1.08,757.02
,,,,,,,,,,VWVT:,1.52% (87),1.48% (85),0.03% (2),1542.51,-0.0,1.0,578.03
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (10),300,600,OSP-RO,30,SWST:,87.42% (5019),85.14% (4888),2.28% (131),164.33,203.85,1.37,783.64
1.0,2020-03-26_00:29,2020-03-26_00:34,0:04:25,runtime:,1.34,load (d):,1.81,load (t):,1.86,VWST:,0.31% (18),0.3% (17),0.02% (1),459.5,67.77,1.13,764.09
,,,,,,,,,,VWVT:,1.95% (112),1.88% (108),0.07% (4),1492.27,-0.0,1.0,591.0
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (10),300,600,OSP-RO,10,SWST:,87.56% (5027),85.44% (4905),2.13% (122),160.36,205.41,1.38,787.57
1.0,2020-03-26_00:36,2020-03-26_00:44,0:07:58,runtime:,0.81,load (d):,1.83,load (t):,1.88,VWST:,0.42% (24),0.35% (20),0.07% (4),490.83,18.87,1.04,639.85
,,,,,,,,,,VWVT:,1.85% (106),1.81% (104),0.03% (2),1543.37,0.0,1.0,556.12
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (10),300,600,OSP-RO,5,SWST:,87.67% (5033),85.47% (4907),2.19% (126),160.14,203.29,1.37,786.04
1.0,2020-03-26_00:46,2020-03-26_01:01,0:14:49,runtime:,0.75,load (d):,1.82,load (t):,1.87,VWST:,0.33% (19),0.3% (17),0.03% (2),463.51,83.65,1.14,696.8
,,,,,,,,,,VWVT:,1.81% (104),1.81% (104),0.0% (0),1543.14,-0.0,1.0,569.65
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (10),300,600,OSP-RO,20,SWST:,87.11% (5001),84.71% (4863),2.4% (138),162.53,201.58,1.37,782.58
1.0,2020-03-26_11:48,2020-03-26_11:54,0:05:58,runtime:,1.21,load (d):,1.82,load (t):,1.87,VWST:,0.3% (17),0.28% (16),0.02% (1),466.08,64.09,1.09,800.48
,,,,,,,,,,VWVT:,2.11% (121),2.06% (118),0.05% (3),1441.45,-0.0,1.0,584.49
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:20,5741 (25.0%),600,6 (10),300,600,OSP-RO,40,SWST:,87.39% (5017),85.21% (4892),2.18% (125),168.32,197.58,1.36,780.75
1.0,2020-03-26_12:11,2020-03-26_12:15,0:04:02,runtime:,1.63,load (d):,1.8,load (t):,1.86,VWST:,0.23% (13),0.23% (13),0.0% (0),447.17,66.93,1.1,772.4
,,,,,,,,,,VWVT:,1.95% (112),1.92% (110),0.03% (2),1390.43,-0.0,1.0,571.39
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (10),300,600,OSP-RO,60,SWST:,86.73% (4979),84.57% (4855),2.16% (124),168.62,199.98,1.36,782.11
1.0,2020-03-26_13:22,2020-03-26_13:25,0:03:37,runtime:,2.19,load (d):,1.8,load (t):,1.85,VWST:,0.33% (19),0.31% (18),0.02% (1),482.94,31.12,1.05,667.31
,,,,,,,,,,VWVT:,1.67% (96),1.62% (93),0.05% (3),1535.45,-0.0,1.0,627.02
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (1),300,600,OSP-SR,5,SWST:,84.08% (4827),81.99% (4707),2.09% (120),163.34,202.62,1.37,784.04
1.0,2020-03-26_13:31,2020-03-26_13:34,0:03:23,runtime:,0.17,load (d):,1.77,load (t):,1.81,VWST:,0.92% (53),0.89% (51),0.03% (2),445.94,65.95,1.15,616.77
,,,,,,,,,,VWVT:,1.18% (68),1.18% (68),0.0% (0),1444.57,-0.0,1.0,572.65
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (1),300,600,OSP-SR,10,SWST:,84.76% (4866),82.63% (4744),2.13% (122),162.61,194.96,1.35,776.21
1.0,2020-03-26_13:35,2020-03-26_13:38,0:02:33,runtime:,0.26,load (d):,1.76,load (t):,1.81,VWST:,0.84% (48),0.77% (44),0.07% (4),438.21,81.06,1.13,732.06
,,,,,,,,,,VWVT:,1.31% (75),1.31% (75),0.0% (0),1425.48,-0.0,1.0,603.97
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (10),300,600,OSP,20,SWST:,83.73% (4807),81.64% (4687),2.09% (120),170.55,202.45,1.37,785.32
1.0,2020-03-26_13:41,2020-03-26_13:43,0:02:11,runtime:,0.44,load (d):,1.75,load (t):,1.81,VWST:,0.75% (43),0.7% (40),0.05% (3),453.89,50.54,1.09,733.94
,,,,,,,,,,VWVT:,1.17% (67),1.11% (64),0.05% (3),1457.42,-0.0,1.0,548.71
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (10),300,600,OSP,10,SWST:,85.3% (4897),83.02% (4766),2.28% (131),166.03,199.8,1.36,783.29
1.0,2020-03-26_13:45,2020-03-26_13:48,0:02:50,runtime:,0.29,load (d):,1.78,load (t):,1.83,VWST:,0.78% (45),0.71% (41),0.07% (4),436.34,70.16,1.14,646.24
,,,,,,,,,,VWVT:,1.46% (84),1.46% (84),0.0% (0),1390.75,0.0,1.0,543.25
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (10),300,600,OSP,30,SWST:,84.38% (4844),82.2% (4719),2.18% (125),168.66,195.25,1.36,776.92
1.0,2020-03-26_13:53,2020-03-26_13:55,0:02:15,runtime:,0.68,load (d):,1.77,load (t):,1.81,VWST:,0.49% (28),0.49% (28),0.0% (0),459.6,62.39,1.14,705.79
,,,,,,,,,,VWVT:,1.22% (70),1.18% (68),0.03% (2),1580.35,-0.0,1.0,570.59
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,6 (10),300,600,OSP,60,SWST:,84.2% (4834),81.92% (4703),2.28% (131),173.9,191.96,1.35,773.47
1.0,2020-03-26_13:57,2020-03-26_13:59,0:02:03,runtime:,1.25,load (d):,1.75,load (t):,1.79,VWST:,0.4% (23),0.37% (21),0.03% (2),436.83,90.11,1.16,961.51
,,,,,,,,,,VWVT:,1.1% (63),1.08% (62),0.02% (1),1467.62,-0.0,1.0,581.76
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,10 (18),300,600,OSP,60,SWST:,85.09% (4885),82.89% (4759),2.19% (126),170.73,193.05,1.35,774.1
1.0,2020-03-26_15:51,2020-03-26_15:54,0:02:15,runtime:,1.37,load (d):,1.76,load (t):,1.8,VWST:,0.44% (25),0.38% (22),0.05% (3),458.45,78.61,1.16,882.83
,,,,,,,,,,VWVT:,1.1% (63),1.08% (62),0.02% (1),1506.72,0.0,1.0,599.95
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,10 (18),300,600,OSP-RO,60,SWST:,87.75% (5038),85.54% (4911),2.21% (127),166.44,197.46,1.36,778.93
1.0,2020-03-26_15:54,2020-03-26_15:59,0:04:36,runtime:,2.79,load (d):,1.82,load (t):,1.87,VWST:,0.4% (23),0.38% (22),0.02% (1),467.46,40.69,1.04,808.12
,,,,,,,,,,VWVT:,1.53% (88),1.52% (87),0.02% (1),1585.93,-0.0,1.0,608.1
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,10 (18),300,600,OSP-RO,30,SWST:,87.56% (5027),85.39% (4902),2.18% (125),163.65,202.2,1.37,781.08
1.0,2020-03-26_16:01,2020-03-26_16:07,0:05:22,runtime:,1.63,load (d):,1.81,load (t):,1.86,VWST:,0.26% (15),0.24% (14),0.02% (1),480.98,49.27,1.06,910.42
,,,,,,,,,,VWVT:,2.0% (115),1.95% (112),0.05% (3),1453.45,-0.0,1.0,598.7
Manhattan,2013-05-11 00:00:00,2013-05-11 01:39:00,4674 (20.0%),300,6 (1),300,600,OSP-SR,30,SWST:,53.87% (2518),51.86% (2424),2.01% (94),175.21,214.76,1.37,833.29
1.0,2020-04-17_15:36,2020-04-17_15:38,0:01:43,runtime:,0.52,load (d):,1.94,load (t):,2.0,VWST:,0.34% (16),0.34% (16),0.0% (0),497.48,31.0,1.06,523.14
,,,,,,,,,,VWVT:,0.92% (43),0.68% (32),0.24% (11),856.2,-0.0,1.0,585.98
Manhattan,2013-05-11 00:00:00,2013-05-11 01:29:00,2377 (10.0%),200,6 (1),300,600,OSP-SR,30,SWST:,56.54% (1344),54.35% (1292),2.19% (52),172.86,212.47,1.38,820.89
1.0,2020-04-17_15:38,2020-04-17_15:39,0:00:43,runtime:,0.24,load (d):,1.55,load (t):,1.63,VWST:,0.5% (12),0.46% (11),0.04% (1),497.21,50.42,1.1,618.84
,,,,,,,,,,VWVT:,0.76% (18),0.59% (14),0.17% (4),811.93,-0.0,1.0,620.56
Manhattan,2013-05-11 00:00:00,2013-05-11 01:29:00,2377 (10.0%),200,6 (1),300,600,OSP-SR,30,SWST:,56.54% (1344),54.35% (1292),2.19% (52),172.86,212.47,1.38,820.89
1.0,2020-04-17_15:40,2020-04-17_15:41,0:00:40,runtime:,0.23,load (d):,1.55,load (t):,1.63,VWST:,0.5% (12),0.46% (11),0.04% (1),497.21,50.42,1.1,618.84
,,,,,,,,,,VWVT:,0.76% (18),0.59% (14),0.17% (4),811.93,-0.0,1.0,620.56
